num,#col
1,#FFE8E8
2,#FFF1E7
3,#FFF5E7
4,#FFFAE7
5,#FFFFE7
6,#F8FFE7
7,#E9FFE7
8,#E7FBFF
9,#E8F4FF
10,#E8EAFF
11,#F6E7FF
12,#FFE8F6
13,#FFFFFF
14,#FFB9B8
15,#FFD4B7
16,#FFE2B7
17,#FFF1B6
18,#FFFFB5
19,#EAFFB6
20,#BDFFB6
21,#B7F2FF
22,#B8DEFF
23,#B9BFFF
24,#E4B7FF
25,#FFB8E6
26,#DBDBDB
27,#FF8A89
28,#FFB887
29,#FFCE86
30,#FFE785
31,#FFFF83
32,#DBFF84
33,#91FF85
34,#87EAFF
35,#88C8FF
36,#8A94FF
37,#D287FF
38,#FF88D5
39,#B2B2B2
40,#FF5B59
41,#FF9B56
42,#FFB954
43,#FFDD50
44,#FFFF4C
45,#CDFF4E
46,#63FF51
47,#55E1FF
48,#58B1FF
49,#5B68FF
50,#BF55FF
51,#FF58C4
52,#a6a6a6
53,#FF2A22
54,#FF7F1A
55,#FFA511
56,#FFD300
57,#FFFF26
58,#BEFF00
59,#2EFF00
60,#17D9FF
61,#239CFF
62,#2A37FF
63,#AD15FF
64,#FF21B3
65,#999999
66,#FF0000
67,#FF6100
68,#FF9000
69,#FFC900
70,#FFFF00
71,#B1FF00
72,#00FF00
73,#00CFFF
74,#0085FF
75,#0000FF
76,#9B00FF
77,#FF00A2
78,#7F7F7F
79,#D30000
80,#D35000
81,#D37600
82,#D2A500
83,#D1D300
84,#90D300
85,#00D300
86,#00A9D3
87,#006CD4
88,#0000D5
89,#7F00D4
90,#D30085
91,#656565
92,#A40000
93,#A43E00
94,#A35C00
95,#A38000
96,#A2A300
97,#71A300
98,#00A400
99,#0084A4
100,#0055A4
101,#0000A5
102,#6300A5
103,#A40066
104,#4C4C4C
105,#750000
106,#752D00
107,#754100
108,#755C00
109,#747500
110,#507500
111,#007500
112,#005F75
113,#003C76
114,#000276
115,#460076
116,#750049
117,#404040
118,#650000
119,#651900
120,#653200
121,#654c00
122,#656500
123,#4c6500
124,#006500
125,#004c65
126,#003265
127,#000065
128,#320065
129,#650032
130,#323232
131,#470000
132,#471B00
133,#472700
134,#463700
135,#464700
136,#304700
137,#014700
138,#003947
139,#002447
140,#000347
141,#2A0047
142,#47002C
143,#191919
144,#320000
145,#320c00
146,#321900
147,#322600
148,#323200
149,#263200
150,#003200
151,#003232
152,#002632
153,#000032
154,#260032
155,#320026
156,#000000